contestId, level,solvedCount
743,C,5632
743,B,7114
743,A,7266
742,B,5710
742,A,11995
741,E,76
741,D,568
741,C,1173
741,B,3281
741,A,4244
740,B,5377
740,A,6232
739,E,507
739,D,63
739,C,676
739,B,2468
739,A,4425
737,F,31
737,E,33
736,E,109
736,D,231
735,E,466
735,D,5901
735,C,4707
735,B,5820
735,A,7920
734,F,743
734,E,1620
734,D,3009
734,C,3737
734,B,13060
734,A,23441
733,F,648
733,E,484
733,D,3165
733,C,2531
733,B,8205
733,A,10825
732,F,729
732,E,1287
732,D,3615
732,C,6441
732,B,11597
732,A,16449
731,F,1883
731,E,842
731,D,820
731,C,3971
731,B,5840
731,A,12327
730,L,36
730,K,45
730,J,1444
730,I,825
730,H,2144
730,G,1640
730,F,42
730,E,518
730,D,489
730,C,744
730,B,1504
730,A,1180
729,F,530
729,E,1451
729,D,2405
729,C,2690
729,B,4205
729,A,5066
727,F,349
727,E,359
727,D,1137
727,C,2297
727,B,1455
727,A,4687
725,G,56
725,F,208
725,E,464
725,D,1938
725,C,2133
725,B,4163
725,A,5180
724,G,410
724,F,146
724,E,546
724,D,1725
724,C,1601
724,B,3161
724,A,5300
723,F,920
723,E,1045
723,D,4133
723,C,3650
723,B,7238
723,A,16910
722,F,243
722,E,318
722,D,2240
722,C,4035
722,B,5004
722,A,5119
721,E,198
721,D,1649
721,C,3003
721,B,7959
721,A,11200
720,F,30
720,E,24
720,D,57
720,C,37
720,B,164
720,A,473
719,B,5715
719,A,10345
718,E,117
718,D,201
718,C,1422
718,A,3377
717,I,65
717,H,286
717,G,375
717,F,182
717,E,934
717,D,829
717,C,2333
717,B,69
717,A,100
716,B,6649
716,A,12382
715,E,77
715,D,101
715,C,791
715,B,1398
715,A,4471
714,B,6876
714,A,7606
713,E,78
